,Expected,Prediction
0,8,8
1,4,4
2,8,7
3,7,5
4,7,8
5,6,7
6,5,5
7,6,6
8,7,6
9,8,7
10,7,8
11,7,7
12,7,6
13,4,4
14,4,4
15,5,7
16,6,6
17,5,5
18,4,5
19,7,7
20,8,6
21,6,6
22,6,7
23,7,8
24,6,6
25,7,7
26,8,8
27,8,8
28,8,8
29,6,6
30,7,7
31,8,7
32,1,2
33,6,6
34,6,6
35,7,8
36,3,5
37,2,3
38,7,7
39,7,6
40,4,7
41,5,4
42,7,8
43,7,8
44,6,7
45,7,7
46,6,6
47,2,2
48,5,5
49,4,6
50,6,6
51,6,6
52,2,3
53,7,6
54,5,6
55,2,6
56,3,7
57,1,4
58,6,6
59,6,6
60,8,8
61,7,5
62,7,5
63,7,6
64,7,5
65,8,6
66,8,7
67,6,5
68,9,7
69,6,6
70,7,6
71,7,6
72,8,7
73,4,6
74,9,7
75,8,7
76,4,5
77,8,7
78,7,8
79,8,8
80,8,6
81,5,6
82,7,6
83,9,7
84,4,6
85,7,5
86,3,4
87,7,5
88,4,3
89,9,8
90,8,6
91,7,7
92,8,7
93,7,7
94,9,6
95,6,6
96,7,5
97,8,7
98,9,7
99,7,7
100,9,6
101,8,5
102,7,7
103,7,7
104,9,6
105,6,6
106,7,7
107,8,8
108,8,5
109,5,5
110,7,7
111,7,7
112,7,5
113,7,6
114,8,6
115,8,8
116,8,7
117,5,5
118,7,5
119,7,7
120,8,8
121,8,8
122,8,8
123,8,3
124,7,7
125,5,6
126,7,5
127,7,5
128,7,6
129,7,7
130,8,8
131,8,8
132,6,6
133,8,7
134,8,7
135,3,4
136,8,5
137,6,6
138,8,5
139,8,7
140,7,7
141,8,8
142,8,7
143,8,7
144,8,8
145,7,5
146,9,8
147,7,6
148,6,6
149,8,8
150,8,7
151,6,5
152,5,7
153,5,5
154,8,8
155,7,7
156,7,7
157,7,8
158,7,7
159,7,8
160,7,7
161,6,6
162,6,6
163,6,6
164,7,7
165,7,8
166,3,2
167,7,7
168,6,6
169,8,8
170,5,6
171,5,6
172,5,6
173,6,5
174,4,7
175,7,7
176,6,8
177,5,5
178,8,8
179,6,7
180,2,5
181,7,6
182,4,4
183,8,7
184,4,5
185,6,7
186,6,7
187,4,5
188,5,5
189,5,5
190,8,8
191,7,7
192,5,8
193,1,2
194,4,5
195,4,5
196,4,5
197,4,5
198,8,8
199,8,8
200,7,8
201,6,6
202,4,6
203,7,8
204,3,5
205,8,7
206,3,5
207,7,8
208,7,8
209,7,8
210,2,2
211,5,6
212,5,3
213,6,5
214,8,7
215,8,8
216,6,6
217,7,7
218,8,8
219,7,6
220,6,6
221,8,7
222,6,6
223,6,6
224,3,7
225,8,8
226,7,6
227,7,6
228,6,6
229,6,6
230,6,6
231,6,6
232,7,8
233,7,8
234,8,8
235,5,6
236,7,6
237,8,8
238,5,8
239,6,7
240,7,6
241,6,6
242,5,3
243,5,5
244,6,8
245,6,8
246,6,6
247,6,6
248,3,5
249,6,7
250,6,7
251,6,6
252,7,6
253,8,8
254,6,7
255,7,8
256,7,6
257,7,6
258,7,6
259,7,7
260,8,8
261,7,6
262,8,8
263,8,8
264,6,7
265,7,6
266,5,6
267,6,6
268,6,7
269,6,7
270,1,3
271,7,7
272,4,6
273,6,6
274,8,8
275,6,6
276,5,5
277,6,5
278,8,8
279,5,6
280,5,6
281,5,6
282,7,6
283,7,6
284,8,8
285,6,6
286,7,7
287,7,7
288,8,8
289,7,7
290,6,5
291,8,8
292,7,6
293,6,6
294,6,6
295,6,7
296,6,6
297,8,7
298,8,8
299,6,6
300,7,7
301,8,8
302,8,7
303,8,7
304,5,5
305,3,4
306,8,8
307,8,8
308,6,7
309,8,7
310,6,7
311,8,8
312,8,8
313,6,7
314,7,7
315,6,6
316,8,8
317,6,6
318,6,6
319,8,8
320,8,8
321,8,8
322,8,7
323,8,7
324,8,7
325,6,6
326,6,6
327,6,6
328,9,8
329,3,4
330,3,4
331,4,5
332,7,6
333,8,7
334,6,6
335,6,6
336,7,8
337,8,8
338,7,6
339,7,8
340,7,8
341,7,6
342,7,8
343,6,5
344,8,8
345,8,7
346,2,5
347,5,6
348,5,7
349,7,7
350,8,7
351,5,7
352,8,8
353,8,8
354,7,8
355,8,7
356,6,7
357,4,4
358,5,7
359,6,8
360,6,8
361,8,8
362,6,6
363,6,7
364,6,7
365,6,7
366,6,7
367,6,7
368,6,7
369,6,7
370,7,7
371,8,8
372,6,6
373,6,6
374,9,8
375,8,8
376,7,7
377,8,6
378,7,7
379,9,8
380,9,8
381,7,6
382,7,6
383,7,6
384,7,7
385,7,8
386,5,6
387,6,5
388,7,5
389,8,6
390,8,6
391,6,6
392,6,6
393,5,8
394,7,7
395,4,7
396,8,8
397,9,8
398,7,6
399,7,6
400,7,6
401,8,7
402,7,7
403,7,6
404,8,8
405,8,8
406,8,8
407,8,8
408,8,8
409,7,7
410,7,7
411,7,6
412,7,6
413,8,8
414,9,8
415,4,5
416,6,6
417,7,7
418,8,6
419,8,8
420,6,6
421,6,6
422,6,6
423,6,6
424,6,6
425,7,3
426,9,8
427,6,6
428,6,6
429,7,8
430,8,8
431,8,8
432,8,8
433,6,6
434,6,6
435,8,7
436,7,6
437,7,6
438,8,8
439,8,7
440,8,7
441,8,7
442,2,4
443,2,4
444,2,4
445,8,8
446,6,7
447,9,7
448,4,4
449,8,8
450,7,7
451,8,8
452,6,6
453,9,8
454,6,6
455,6,6
456,6,6
457,4,5
458,7,8
459,6,6
460,6,8
461,9,8
462,9,8
463,6,6
464,7,7
465,7,7
466,6,7
467,8,8
468,8,8
469,5,5
470,6,6
471,8,8
472,9,8
473,6,6
474,5,6
475,4,5
476,9,8
477,7,6
478,7,6
479,9,8
480,8,8
481,6,6
482,6,6
483,1,5
484,4,6
485,7,6
486,7,6
487,7,6
488,5,7
489,7,8
490,4,4
491,4,5
492,4,7
493,5,5
494,6,6
495,6,6
496,4,4
497,5,6
498,8,8
499,9,8
500,5,6
501,8,7
502,8,7
503,6,6
504,8,8
505,9,8
506,5,6
507,8,8
508,8,7
509,6,6
510,7,8
511,7,8
512,7,8
513,6,6
514,8,8
515,9,8
516,8,8
517,8,7
518,8,7
519,8,8
520,8,7
521,8,8
522,8,8
523,7,8
524,8,8
525,7,7
526,6,6
527,6,6
528,8,8
529,8,8
530,5,5
531,6,8
532,7,7
533,7,7
534,9,8
535,9,8
536,9,8
537,9,8
538,6,6
539,6,6
540,6,6
541,6,6
542,5,7
543,8,8
544,6,6
545,8,8
546,8,8
547,8,7
548,8,7
549,8,7
550,7,6
551,7,6
552,7,6
553,9,8
554,9,8
555,6,6
556,7,7
557,7,7
558,5,5
559,4,4
560,5,7
561,6,7
562,8,8
563,7,6
564,3,3
565,5,5
566,8,8
567,6,6
568,9,8
569,9,8
570,7,7
571,7,6
572,7,6
573,7,6
574,5,7
575,7,7
576,7,7
577,6,7
578,7,7
579,7,6
580,6,7
581,7,7
582,5,6
583,6,6
584,7,7
585,4,4
586,4,4
587,8,6
