,Expected,Prediction
0,7,7
1,7,8
2,8,8
3,8,8
4,5,7
5,5,7
6,9,8
7,6,7
8,6,6
9,6,6
10,8,8
11,7,7
12,8,8
13,8,8
14,8,8
15,7,7
16,7,7
17,7,7
18,7,7
19,7,7
20,8,8
21,8,8
22,8,7
23,8,7
24,9,8
25,9,8
26,3,6
27,4,6
28,4,6
29,8,7
30,8,7
31,8,7
32,6,7
33,9,8
34,9,8
35,6,7
36,8,8
37,8,7
38,5,6
39,7,8
40,8,7
41,8,8
42,8,7
43,8,7
44,8,7
45,8,7
46,8,8
47,7,7
48,7,7
49,5,7
50,6,6
51,8,8
52,8,8
53,7,7
54,8,8
55,7,8
56,5,7
57,9,8
58,5,6
59,7,7
60,3,5
61,7,7
62,8,7
63,7,7
64,7,7
65,5,6
66,7,8
67,5,6
68,7,7
69,7,7
70,7,7
71,7,7
72,5,5
73,3,5
74,8,8
75,5,6
76,6,7
77,7,7
78,7,7
79,7,7
80,7,7
81,6,7
82,6,8
83,8,8
84,8,8
85,8,8
86,6,7
87,6,8
88,6,6
89,6,7
90,5,8
91,5,6
92,5,6
93,7,6
94,8,7
95,4,6
96,4,6
97,7,7
98,7,7
99,8,7
100,5,5
101,8,8
102,8,8
103,8,8
104,9,8
105,7,7
106,8,7
107,7,7
108,6,8
109,6,6
110,8,7
111,4,6
112,8,8
113,5,7
114,8,7
115,6,7
116,4,4
117,4,4
118,7,7
119,4,7
120,6,7
121,4,6
122,5,7
123,8,7
124,3,5
125,9,8
126,1,8
127,7,6
128,7,6
129,7,8
130,5,7
131,5,7
132,4,5
133,8,8
134,7,7
135,4,6
136,6,7
137,8,8
138,7,7
139,6,7
140,5,7
141,6,7
142,8,8
143,8,8
144,9,8
145,6,7
146,6,7
147,8,4
148,7,7
149,8,8
150,6,7
151,7,7
152,7,7
153,4,7
154,4,7
155,8,8
156,6,7
157,7,8
158,4,7
159,5,6
160,4,7
161,7,6
162,4,6
163,7,7
164,7,7
165,4,5
166,5,6
167,3,5
168,7,7
169,6,7
170,6,8
171,7,7
172,7,8
173,6,7
174,8,7
175,8,7
176,7,8
177,7,8
178,7,7
179,6,7
180,7,7
181,7,7
182,5,5
183,8,7
184,3,6
185,3,6
186,7,7
187,6,7
188,6,7
189,7,7
190,6,8
191,9,8
192,7,7
193,7,7
194,7,8
195,8,8
196,7,7
197,8,8
198,8,8
199,6,7
200,6,7
201,6,7
202,5,7
203,8,8
204,6,7
205,3,7
206,5,6
207,5,6
208,7,5
209,7,8
210,3,7
211,3,7
212,7,8
213,6,6
214,7,8
215,8,7
216,7,8
217,7,8
218,7,8
219,5,7
220,5,7
221,4,7
222,9,8
223,5,5
224,8,7
225,8,7
226,8,8
227,9,8
228,4,6
229,7,8
230,6,7
231,7,8
232,3,6
233,4,5
234,4,6
235,7,8
236,9,8
237,9,8
238,6,5
239,7,7
240,7,7
241,7,7
242,6,6
243,3,6
244,5,6
245,6,7
246,6,7
247,6,7
248,9,8
249,9,8
